CASE_NUMBER,BLOCK,COMMUNITY_AREA,LOCATION_DESCRIPTION
JA330384,2400 S ST LOUIS AVE,SOUTH LAWNDALE,SIDEWALK
JA330619,6200 S ASHLAND AVE,WEST ENGLEWOOD,OTHER
JA330770,4000 W ARTHINGTON ST,WEST GARFIELD PARK,SIDEWALK
JA330849,5000 S COTTAGE GROVE AVE,GRAND BOULEVARD,SIDEWALK
JA444227,2600 W WILCOX ST,EAST GARFIELD PARK,SIDEWALK
JA330977,7200 S EVANS AVE,GREATER GRAND CROSSING,SIDEWALK
JA444349,6800 N SHERIDAN RD,ROGERS PARK,SIDEWALK
JA331101,4500 W JACKSON BLVD,WEST GARFIELD PARK,RESIDENCE - PORCH / HALLWAY
JA331110,500 N SAWYER AVE,HUMBOLDT PARK,SIDEWALK
JA331117,3000 W ROOSEVELT RD,NORTH LAWNDALE,STREET
JA331135,5100 W MADISON ST,AUSTIN,GAS STATION
JA331404,5400 W GLADYS AVE,AUSTIN,SIDEWALK
JA331522,4900 W ADAMS ST,AUSTIN,SIDEWALK
JA446420,1900 S PEORIA ST,LOWER WEST SIDE,SIDEWALK
JA331952,1900 S DRAKE AVE,NORTH LAWNDALE,PARK PROPERTY
JA331996,2400 S PULASKI RD,SOUTH LAWNDALE,ALLEY
JA332454,1400 S SACRAMENTO DR,NORTH LAWNDALE,PARK PROPERTY
JA333225,4000 W MONROE ST,WEST GARFIELD PARK,SIDEWALK
JA333519,1500 S HAMLIN AVE,NORTH LAWNDALE,SIDEWALK
JA334151,11600 S STATE ST,WEST PULLMAN,STREET
JA334523,10500 S ABERDEEN ST,WASHINGTON HEIGHTS,"SCHOOL, PUBLIC, GROUNDS"
JA334549,3400 W GRENSHAW ST,NORTH LAWNDALE,STREET
JA449346,9200 S JUSTINE ST,WASHINGTON HEIGHTS,STREET
JA334574,1200 S LAWNDALE AVE,NORTH LAWNDALE,VEHICLE NON-COMMERCIAL
JA334604,1900 S SPAULDING AVE,NORTH LAWNDALE,STREET
JA449412,1200 W 96TH ST,WASHINGTON HEIGHTS,ALLEY
JA334661,0 E 43RD ST,GRAND BOULEVARD,STREET
JA334699,3900 W 13TH ST,NORTH LAWNDALE,STREET
JA449679,5700 W IRVING PARK RD,PORTAGE PARK,SIDEWALK
HZ112444,5900 N KENMORE AVE,EDGEWATER,STREET
JA334738,3800 W GRENSHAW ST,NORTH LAWNDALE,SIDEWALK
JA334793,200 W 95TH ST,ROSELAND,CHA PARKING LOT/GROUNDS
JA337331,700 N LATROBE AVE,AUSTIN,ALLEY
JA337409,6200 S WENTWORTH AVE,ENGLEWOOD,STREET
JA450292,700 S WESTERN AVE,NEAR WEST SIDE,STREET
JA450532,400 E OAKWOOD BLVD,GRAND BOULEVARD,STREET
JA337534,10900 S VERNON AVE,ROSELAND,ALLEY
JA338854,7500 S CALUMET AVE,GREATER GRAND CROSSING,SIDEWALK
JA339138,11400 S HARVARD AVE,ROSELAND,SIDEWALK
JA339480,2900 W ROOSEVELT RD,NORTH LAWNDALE,PARK PROPERTY
JA340248,4200 W ROOSEVELT RD,NORTH LAWNDALE,STREET
JA340510,1900 S TRUMBULL AVE,NORTH LAWNDALE,SIDEWALK
HZ116016,6100 N WOLCOTT AVE,WEST RIDGE,STREET
JA341117,2200 S MILLARD AVE,SOUTH LAWNDALE,SIDEWALK
JA341341,4400 W JACKSON BLVD,WEST GARFIELD PARK,RESIDENCE - PORCH / HALLWAY
JA341485,6600 S LOWE AVE,ENGLEWOOD,STREET
JA341522,4300 S LA SALLE ST,FULLER PARK,STREET
JA341593,0 S LEAMINGTON AVE,AUSTIN,SIDEWALK
JA453323,7500 S UNION AVE,ENGLEWOOD,RESIDENCE
JA453594,3100 W JACKSON BLVD,EAST GARFIELD PARK,SIDEWALK
JA342876,4100 W 16TH ST,NORTH LAWNDALE,SIDEWALK
JA342900,600 N KEDZIE AVE,HUMBOLDT PARK,STREET
JA343027,2700 S CENTRAL PARK AVE,SOUTH LAWNDALE,SIDEWALK
JA343636,1800 S ST LOUIS AVE,NORTH LAWNDALE,STREET
JA344298,300 S CICERO AVE,AUSTIN,SIDEWALK
JA345943,8900 S LOOMIS ST,WASHINGTON HEIGHTS,STREET
JA346600,2900 W 25TH PL,SOUTH LAWNDALE,SIDEWALK
JA346966,4200 W CERMAK RD,NORTH LAWNDALE,SIDEWALK
JA346975,5000 W HURON ST,AUSTIN,SIDEWALK
JA347846,5100 S CALUMET AVE,WASHINGTON PARK,SIDEWALK
JA348072,6700 S CALUMET AVE,GREATER GRAND CROSSING,STREET
JA348478,12800 S PEORIA ST,WEST PULLMAN,STREET
JA348581,5100 W WASHINGTON BLVD,AUSTIN,STREET
JA456924,7100 S ELLIS AVE,GREATER GRAND CROSSING,ALLEY
JA348608,0 N LECLAIRE AVE,AUSTIN,SIDEWALK
JA348953,7100 S LOWE AVE,ENGLEWOOD,VEHICLE NON-COMMERCIAL
JA349436,5500 W CORCORAN PL,AUSTIN,PARKING LOT/GARAGE(NON.RESID.)
JA349489,12200 S THROOP ST,WEST PULLMAN,ALLEY
JA457376,400 E 75TH ST,GREATER GRAND CROSSING,SIDEWALK
JA457467,7600 S EGGLESTON AVE,GREATER GRAND CROSSING,SIDEWALK
JA349676,5500 S THROOP ST,WEST ENGLEWOOD,STREET
JA458481,0 W 110TH PL,ROSELAND,SIDEWALK
JA458612,4300 S COTTAGE GROVE AVE,GRAND BOULEVARD,ALLEY
JA458727,5000 S INDIANA AVE,GRAND BOULEVARD,SIDEWALK
JA349678,5000 W MONROE ST,AUSTIN,SIDEWALK
JA349815,4900 W OHIO ST,AUSTIN,SIDEWALK
JA349857,6800 S PERRY AVE,GREATER GRAND CROSSING,STREET
JA349927,5900 S CARPENTER ST,ENGLEWOOD,STREET
JA350907,6400 S NORMAL BLVD,ENGLEWOOD,STREET
JA351045,4500 W MONROE ST,WEST GARFIELD PARK,VEHICLE NON-COMMERCIAL
JA351811,7900 S MICHIGAN AVE,CHATHAM,ALLEY
JA352351,0 N LATROBE AVE,AUSTIN,ALLEY
JA352530,2000 W 69TH PL,WEST ENGLEWOOD,STREET
JA354383,100 N LAMON AVE,AUSTIN,SIDEWALK
JA354568,700 S INDEPENDENCE BLVD,WEST GARFIELD PARK,SIDEWALK
JA354785,5500 W VAN BUREN ST,AUSTIN,STREET
JA354880,100 W 79TH ST,CHATHAM,PARKING LOT/GARAGE(NON.RESID.)
JA354935,12200 S GREEN ST,WEST PULLMAN,SIDEWALK
JA355081,4400 W CONGRESS PKWY,WEST GARFIELD PARK,STREET
JA461604,11600 S CHURCH ST,MORGAN PARK,SIDEWALK
JA355518,3500 W FRANKLIN BLVD,HUMBOLDT PARK,STREET
JA356519,7400 S EVANS AVE,GREATER GRAND CROSSING,STREET
JA356784,4000 W LAKE ST,WEST GARFIELD PARK,SIDEWALK
JA462733,7900 S DREXEL AVE,CHATHAM,ABANDONED BUILDING
JA462809,4500 S COTTAGE GROVE AVE,GRAND BOULEVARD,SIDEWALK
JA462833,300 S SACRAMENTO BLVD,EAST GARFIELD PARK,GAS STATION
JA462837,1900 S WENTWORTH AVE,ARMOUR SQUARE,VEHICLE NON-COMMERCIAL
JA462864,2400 W HADDON AVE,WEST TOWN,SIDEWALK
JA358045,7200 S VINCENNES AVE,GREATER GRAND CROSSING,SIDEWALK
JA359172,5600 S PAULINA ST,WEST ENGLEWOOD,SIDEWALK
JA359194,1300 S TROY ST,NORTH LAWNDALE,SIDEWALK
JA359209,6700 S ASHLAND AVE,WEST ENGLEWOOD,SIDEWALK
JA359376,1200 S KOMENSKY AVE,NORTH LAWNDALE,SIDEWALK
JA359554,200 E 75TH ST,GREATER GRAND CROSSING,SIDEWALK
JA359588,300 S CICERO AVE,AUSTIN,VACANT LOT/LAND
JA463961,3300 S MORGAN ST,BRIDGEPORT,STREET
JA359900,6800 S ADA ST,WEST ENGLEWOOD,SIDEWALK
JA360527,4400 W CARROLL AVE,WEST GARFIELD PARK,STREET
JA360754,400 W 87TH ST,AUBURN GRESHAM,SIDEWALK
JA362417,1300 S KARLOV AVE,NORTH LAWNDALE,SIDEWALK
JA363118,11200 S STEWART AVE,ROSELAND,STREET
JA465230,0 N FRANCISCO AVE,EAST GARFIELD PARK,ALLEY
JA363409,700 N MONTICELLO AVE,HUMBOLDT PARK,SIDEWALK
JA363465,6600 S JUSTINE ST,WEST ENGLEWOOD,STREET
JA363665,3600 W CONGRESS PKWY,EAST GARFIELD PARK,SIDEWALK
JA467650,300 S CALIFORNIA AVE,EAST GARFIELD PARK,PARKING LOT/GARAGE(NON.RESID.)
JA467677,1900 W 118TH ST,MORGAN PARK,STREET
JA364535,5100 S LOWE AVE,NEW CITY,STREET
JA366157,600 E 71ST ST,GREATER GRAND CROSSING,SIDEWALK
JA468628,2100 W 95TH ST,BEVERLY,SIDEWALK
JA469034,0 S WHIPPLE ST,EAST GARFIELD PARK,SIDEWALK
JA366501,4000 S PRINCETON AVE,FULLER PARK,STREET
JA366625,900 S CICERO AVE,AUSTIN,STREET
JA469909,200 W 94TH ST,ROSELAND,PARKING LOT/GARAGE(NON.RESID.)
JA367506,4200 W CERMAK RD,NORTH LAWNDALE,SIDEWALK
JA368277,3600 W CERMAK RD,SOUTH LAWNDALE,SIDEWALK
JA369030,1600 W 57TH ST,WEST ENGLEWOOD,SIDEWALK
JA369203,100 E 80TH ST,CHATHAM,STREET
JA473746,5000 W ROSCOE ST,PORTAGE PARK,ALLEY
JA369354,300 E 57TH ST,WASHINGTON PARK,SIDEWALK
JA474304,2800 W WILCOX ST,EAST GARFIELD PARK,SIDEWALK
JA474693,1200 W 95TH PL,WASHINGTON HEIGHTS,ALLEY
JA370083,6800 S WINCHESTER AVE,WEST ENGLEWOOD,SIDEWALK
JA370441,5600 S MICHIGAN AVE,WASHINGTON PARK,STREET
JA475226,8500 S WOLCOTT AVE,AUBURN GRESHAM,STREET
JA371855,6700 S GREEN ST,ENGLEWOOD,SIDEWALK
JA475323,1600 N MASON AVE,AUSTIN,SIDEWALK
JA475947,8000 S STEWART AVE,CHATHAM,STREET
JA371916,3100 W CERMAK RD,SOUTH LAWNDALE,SIDEWALK
JA372057,4400 W JACKSON BLVD,WEST GARFIELD PARK,STREET
JA373158,7000 S PAULINA ST,WEST ENGLEWOOD,STREET
JA374249,6700 S WINCHESTER AVE,WEST ENGLEWOOD,SIDEWALK
JA374915,6400 S LOWE AVE,ENGLEWOOD,STREET
JA375511,5700 S MICHIGAN AVE,WASHINGTON PARK,APARTMENT
JA377678,1600 S DRAKE AVE,NORTH LAWNDALE,SIDEWALK
JA378962,2500 S SPAULDING AVE,SOUTH LAWNDALE,RESIDENTIAL YARD (FRONT/BACK)
JA379302,3300 W WALNUT ST,EAST GARFIELD PARK,STREET
JA380483,12200 S EMERALD AVE,WEST PULLMAN,RESIDENCE PORCH/HALLWAY
JA380620,5200 S DR MARTIN LUTHER KING JR DR,WASHINGTON PARK,SIDEWALK
JA381675,2100 S KOSTNER AVE,NORTH LAWNDALE,SIDEWALK
JA381815,4700 W LAKE ST,AUSTIN,VEHICLE - OTHER RIDE SERVICE
JA383343,6500 S RACINE AVE,WEST ENGLEWOOD,PARK PROPERTY
JA384094,12100 S WENTWORTH AVE,WEST PULLMAN,SIDEWALK
JA384101,11600 S MICHIGAN AVE,WEST PULLMAN,VEHICLE NON-COMMERCIAL
JA481041,4500 S WESTERN BLVD,NEW CITY,STREET
JA384845,5200 W ADAMS ST,AUSTIN,STREET
JA481326,11100 S HALSTED ST,ROSELAND,ALLEY
JA481447,11000 S EMERALD AVE,ROSELAND,RESIDENCE
JA386055,6700 S OAKLEY AVE,CHICAGO LAWN,STREET
JA482678,1800 N CALIFORNIA AVE,WEST TOWN,STREET
JA387046,2500 S TROY ST,SOUTH LAWNDALE,PARKING LOT/GARAGE(NON.RESID.)
JA387586,3300 W FLOURNOY ST,EAST GARFIELD PARK,STREET
JA387735,200 S KILDARE AVE,WEST GARFIELD PARK,SIDEWALK
JA483213,1700 W ESTES AVE,ROGERS PARK,ALLEY
JA387740,300 N LOREL AVE,AUSTIN,STREET
JA387828,6400 S HOYNE AVE,WEST ENGLEWOOD,STREET
JA388582,5500 S BISHOP ST,WEST ENGLEWOOD,OTHER (SPECIFY)
JA388728,1300 S KARLOV AVE,NORTH LAWNDALE,STREET
JA388809,1200 W 71ST PL,WEST ENGLEWOOD,RESIDENCE
JA485858,6300 S LAWLER AVE,CLEARING,SIDEWALK
JA388871,1800 S HARDING AVE,NORTH LAWNDALE,RESIDENCE PORCH/HALLWAY
JA388900,3400 W MADISON ST,EAST GARFIELD PARK,ALLEY
JA389058,11300 S STATE ST,ROSELAND,STREET
JA389088,0 N CENTRAL AVE,AUSTIN,SIDEWALK
JA389963,3900 W JACKSON BLVD,WEST GARFIELD PARK,STREET
JA487597,7500 N WOLCOTT AVE,ROGERS PARK,RESIDENCE - YARD (FRONT / BACK)
JA391007,11800 S YALE AVE,WEST PULLMAN,RESIDENCE PORCH/HALLWAY
JA391377,2000 W 69TH PL,WEST ENGLEWOOD,SIDEWALK
JA391399,7300 S CLAREMONT AVE,CHICAGO LAWN,SIDEWALK
JA392028,0 E 102ND ST,ROSELAND,RESIDENCE-GARAGE
JA392360,0 N LAVERGNE AVE,AUSTIN,SIDEWALK
JA488770,6800 W NORTH AVE,AUSTIN,CONVENIENCE STORE
JA392580,12800 S UNION AVE,WEST PULLMAN,SIDEWALK
JA489021,8100 S CRANDON AVE,SOUTH CHICAGO,VEHICLE NON-COMMERCIAL
JA489034,5800 W WARWICK AVE,PORTAGE PARK,ALLEY
JA489046,2800 W DIVISION ST,WEST TOWN,STREET
JA393304,7200 S PAULINA ST,WEST ENGLEWOOD,RESIDENCE PORCH/HALLWAY
JA489970,5000 S HOYNE AVE,NEW CITY,SIDEWALK
JA490080,3500 N LAVERGNE AVE,PORTAGE PARK,SIDEWALK
JA393791,700 S ST LOUIS AVE,EAST GARFIELD PARK,SIDEWALK
JA490205,5700 S ARCHER AVE,GARFIELD RIDGE,STREET
JA395584,4800 W FERDINAND ST,AUSTIN,SIDEWALK
JA491239,100 E ONTARIO ST,NEAR NORTH SIDE,RESTAURANT
JA395705,2700 S STATE ST,DOUGLAS,CHA PARKING LOT/GROUNDS
JA395903,11700 S CALUMET AVE,WEST PULLMAN,ALLEY
JA493918,4600 N GREENVIEW AVE,UPTOWN,VEHICLE NON-COMMERCIAL
JA397004,100 N KILBOURN AVE,WEST GARFIELD PARK,SIDEWALK
JA397276,100 S KILDARE AVE,WEST GARFIELD PARK,STREET
JA397296,1600 S HOMAN AVE,NORTH LAWNDALE,SIDEWALK
JA397319,3400 W WALNUT ST,EAST GARFIELD PARK,ALLEY
JA397347,12200 S GREEN ST,WEST PULLMAN,STREET
JA398242,4700 W FULTON ST,AUSTIN,SIDEWALK
JA398365,700 N LAWNDALE AVE,HUMBOLDT PARK,STREET
JA398468,5000 W FERDINAND ST,AUSTIN,STREET
JA398553,0 E 43RD ST,GRAND BOULEVARD,STREET
JA398576,11900 S LOOMIS ST,WEST PULLMAN,STREET
JA398715,1400 S HOMAN AVE,NORTH LAWNDALE,STREET
JA398759,5700 S PAULINA ST,WEST ENGLEWOOD,RESIDENCE
JA399363,5600 W MADISON ST,AUSTIN,SIDEWALK
JA500221,8400 S HAMILTON AVE,AUBURN GRESHAM,SIDEWALK
JA500249,6600 S CHICAGO SKYWAY OB,GREATER GRAND CROSSING,HIGHWAY/EXPRESSWAY
JA399377,0 N LOREL AVE,AUSTIN,SIDEWALK
JA399513,5600 W MADISON ST,AUSTIN,SIDEWALK
JA399576,10100 S LA SALLE ST,ROSELAND,RESIDENCE
JA400229,7300 S SANGAMON ST,ENGLEWOOD,SIDEWALK
JA401357,300 N CENTRAL AVE,AUSTIN,SIDEWALK
JA402364,6700 S OAKLEY AVE,CHICAGO LAWN,SIDEWALK
JA402473,4200 W ADAMS ST,WEST GARFIELD PARK,STREET
JA402972,200 E GARFIELD BLVD,WASHINGTON PARK,SIDEWALK
JA403624,3900 W GRENSHAW ST,NORTH LAWNDALE,SIDEWALK
JA403694,11700 S YALE AVE,WEST PULLMAN,STREET
JA507341,200 W 37TH ST,ARMOUR SQUARE,RESIDENCE
JA403712,500 N SPRINGFIELD AVE,HUMBOLDT PARK,SIDEWALK
JA403766,4400 S PRAIRIE AVE,GRAND BOULEVARD,STREET
JA508604,3900 N LAKE SHORE DR,LAKE VIEW,STREET
JA403839,4900 W HUBBARD ST,AUSTIN,RESIDENCE PORCH/HALLWAY
JA404143,4100 W GRENSHAW ST,NORTH LAWNDALE,STREET
JA510172,0 E 47TH ST,GRAND BOULEVARD,SIDEWALK
JA405098,2200 S KILDARE AVE,NORTH LAWNDALE,SIDEWALK
JA406157,6900 S PRAIRIE AVE,GREATER GRAND CROSSING,SIDEWALK
JA406461,3200 W FRANKLIN BLVD,HUMBOLDT PARK,STREET
JA512243,8700 S COTTAGE GROVE AVE,CHATHAM,GAS STATION
JA406474,6300 S ASHLAND AVE,WEST ENGLEWOOD,PARKING LOT/GARAGE(NON.RESID.)
JA407479,6900 S PRAIRIE AVE,GREATER GRAND CROSSING,STREET
JA407622,3900 W VAN BUREN ST,WEST GARFIELD PARK,STREET
JA407772,4200 S STATE ST,GRAND BOULEVARD,STREET
JA408504,2300 S SACRAMENTO AVE,SOUTH LAWNDALE,RESIDENTIAL YARD (FRONT/BACK)
HZ167736,7900 S EAST END AVE,SOUTH CHICAGO,SIDEWALK
JA408858,7300 S YALE AVE,GREATER GRAND CROSSING,APARTMENT
JA408883,1100 W 101ST ST,WASHINGTON HEIGHTS,STREET
JA410489,5600 S MAY ST,ENGLEWOOD,SIDEWALK
JA411056,7200 S WINCHESTER AVE,WEST ENGLEWOOD,STREET
JA517689,2700 W WILCOX ST,EAST GARFIELD PARK,STREET
JA411361,7200 S MAY ST,ENGLEWOOD,SIDEWALK
JA519479,700 E 75TH ST,GREATER GRAND CROSSING,STREET
JA519586,4600 W AUGUSTA BLVD,AUSTIN,SIDEWALK
JA412396,6300 S MARSHFIELD AVE,WEST ENGLEWOOD,STREET
JA520807,5700 S KENTON AVE,WEST ELSDON,RESIDENCE PORCH/HALLWAY
JA412662,400 S KOSTNER AVE,WEST GARFIELD PARK,SIDEWALK
JA412718,1500 S KOMENSKY AVE,NORTH LAWNDALE,SIDEWALK
HZ172504,11000 S NORMAL AVE,ROSELAND,STREET
JA522028,4300 W WRIGHTWOOD AVE,HERMOSA,STREET
JA523046,4700 W WARWICK AVE,PORTAGE PARK,SIDEWALK
JA412723,1400 S AVERS AVE,NORTH LAWNDALE,STREET
JA413141,1200 S CENTRAL PARK AVE,NORTH LAWNDALE,SIDEWALK
JA413610,12300 S UNION AVE,WEST PULLMAN,STREET
JA413637,0 N KEELER AVE,WEST GARFIELD PARK,SIDEWALK
JA413975,6600 S BELL AVE,CHICAGO LAWN,STREET
JA414090,1000 W 103RD ST,WASHINGTON HEIGHTS,GAS STATION
JA414192,3700 W 16TH ST,NORTH LAWNDALE,SIDEWALK
JA414496,3400 W HURON ST,HUMBOLDT PARK,SIDEWALK
JA525020,5400 S COTTAGE GROVE AVE,HYDE PARK,STREET
JA414774,6900 S INDIANA AVE,GREATER GRAND CROSSING,SIDEWALK
JA525252,3000 S HALSTED ST,BRIDGEPORT,ALLEY
JA414887,6200 S MAY ST,ENGLEWOOD,STREET
JA415452,4100 W CONGRESS PKWY,WEST GARFIELD PARK,SIDEWALK
JA526336,7900 S DREXEL AVE,CHATHAM,STREET
JA415576,4300 W WILCOX ST,WEST GARFIELD PARK,STREET
JA416037,6900 S PAULINA ST,WEST ENGLEWOOD,ALLEY
JA416788,4700 W MADISON ST,AUSTIN,STREET
JA527481,5300 N LINCOLN AVE,LINCOLN SQUARE,STREET
HZ178661,3200 S LITUANICA AVE,BRIDGEPORT,SIDEWALK
HZ178680,8400 S LOOMIS BLVD,AUBURN GRESHAM,STREET
JA416804,2500 S SPAULDING AVE,SOUTH LAWNDALE,OTHER
JA529050,600 E BOWEN AVE,GRAND BOULEVARD,STREET
JA529158,4700 S PRAIRIE AVE,GRAND BOULEVARD,STREET
JA417264,4800 W CHICAGO AVE,AUSTIN,ALLEY
JA417880,2400 S HARDING AVE,SOUTH LAWNDALE,SIDEWALK
JA418046,3300 W WALNUT ST,EAST GARFIELD PARK,SIDEWALK
JA531058,2300 N ASHLAND AVE,LINCOLN PARK,APARTMENT
JA419015,1300 S MILLARD AVE,NORTH LAWNDALE,RESIDENCE PORCH/HALLWAY
JA531574,10200 S VINCENNES AVE,WASHINGTON HEIGHTS,PARKING LOT/GARAGE(NON.RESID.)
JA420221,6100 S ASHLAND AVE,WEST ENGLEWOOD,GAS STATION
JA420356,3500 W JACKSON BLVD,EAST GARFIELD PARK,STREET
JA531932,700 E 76TH ST,GREATER GRAND CROSSING,STREET
JA420540,7200 S PEORIA ST,ENGLEWOOD,STREET
JA421434,2600 S AVERS AVE,SOUTH LAWNDALE,SIDEWALK
JA422940,5200 W ADAMS ST,AUSTIN,SIDEWALK
JA423755,1800 W 64TH ST,WEST ENGLEWOOD,STREET
JA424004,8800 S EGGLESTON AVE,AUBURN GRESHAM,RESIDENCE
JA424065,1200 S AVERS AVE,NORTH LAWNDALE,ALLEY
JA424501,2900 S DEARBORN ST,DOUGLAS,CHA PARKING LOT/GROUNDS
JA424950,5000 W HARRISON ST,AUSTIN,SIDEWALK
JA425332,4000 W VAN BUREN ST,WEST GARFIELD PARK,RESIDENTIAL YARD (FRONT/BACK)
JA425510,3300 W MADISON ST,EAST GARFIELD PARK,SIDEWALK
JA534493,5200 S WHIPPLE ST,GAGE PARK,STREET
JA425556,5400 S WABASH AVE,WASHINGTON PARK,SIDEWALK
HZ183507,8800 S WOOD ST,AUBURN GRESHAM,SIDEWALK
JA426042,3400 W 16TH ST,NORTH LAWNDALE,SIDEWALK
JA427743,5300 W ADAMS ST,AUSTIN,SIDEWALK
JA427824,8900 S LOWE AVE,AUBURN GRESHAM,STREET
JA427899,5900 S WOLCOTT AVE,WEST ENGLEWOOD,ALLEY
JA536858,900 W 87TH ST,AUBURN GRESHAM,RESIDENCE
JA429045,200 N LATROBE AVE,AUSTIN,SIDEWALK
JA429361,7000 S PERRY AVE,GREATER GRAND CROSSING,SIDEWALK
JA538173,1400 N CLYBOURN AVE,NEAR NORTH SIDE,STREET
JA538182,4300 N ALBANY AVE,IRVING PARK,SIDEWALK
JA538422,7800 S DR MARTIN LUTHER KING JR DR,GREATER GRAND CROSSING,ALLEY
JA538451,3500 N KEELER AVE,IRVING PARK,STREET
JA538454,1000 N CLARK ST,NEAR NORTH SIDE,SIDEWALK
JA429525,4900 W ADAMS ST,AUSTIN,STREET
JA430288,6700 S HONORE ST,WEST ENGLEWOOD,STREET
JA431236,3200 W ROOSEVELT RD,NORTH LAWNDALE,STREET
JA431446,100 S SPRINGFIELD AVE,WEST GARFIELD PARK,SIDEWALK
JA431580,500 W 87TH ST,AUBURN GRESHAM,STREET
JA432056,1200 S MILLARD AVE,NORTH LAWNDALE,STREET
JA432377,4900 W KINZIE ST,AUSTIN,SIDEWALK
JA432536,3900 W FERDINAND ST,HUMBOLDT PARK,STREET
JA432740,4400 W WASHINGTON BLVD,WEST GARFIELD PARK,RESIDENTIAL YARD (FRONT/BACK)
JA433174,8800 S THROOP ST,AUBURN GRESHAM,SIDEWALK
JA433264,500 N KEDZIE AVE,HUMBOLDT PARK,STREET
JA433324,100 E 115TH ST,WEST PULLMAN,SIDEWALK
JA434337,10700 S PERRY AVE,ROSELAND,RESIDENCE PORCH/HALLWAY
JA434443,600 S HOMAN AVE,EAST GARFIELD PARK,GAS STATION
JA434540,7100 S ST LAWRENCE AVE,GREATER GRAND CROSSING,RESIDENCE PORCH/HALLWAY
JA434561,600 S HOMAN AVE,HUMBOLDT PARK,SIDEWALK
JA434854,10600 S WENTWORTH AVE,ROSELAND,SIDEWALK
JA435077,9200 S HALSTED ST,WASHINGTON HEIGHTS,STREET
JA435762,3000 W CERMAK RD,SOUTH LAWNDALE,VEHICLE NON-COMMERCIAL
JA437145,7200 S HALSTED ST,ENGLEWOOD,SIDEWALK
JA437557,5600 S MICHIGAN AVE,WASHINGTON PARK,SIDEWALK
JA438068,3600 S VINCENNES AVE,DOUGLAS,VEHICLE NON-COMMERCIAL
JA438210,7000 S WOLCOTT AVE,WEST ENGLEWOOD,VACANT LOT/LAND
JA439208,7400 S EGGLESTON AVE,ENGLEWOOD,SIDEWALK
JA439411,0 E 117TH PL,WEST PULLMAN,ALLEY
JA439825,4400 W JACKSON BLVD,WEST GARFIELD PARK,RESIDENCE - PORCH / HALLWAY
JA440970,7400 S CHAMPLAIN AVE,GREATER GRAND CROSSING,RESIDENCE
JA441263,3000 W 25TH ST,SOUTH LAWNDALE,SIDEWALK
JA545734,6100 N BROADWAY,EDGEWATER,STREET
JA545811,6200 S NASHVILLE AVE,CLEARING,RESIDENCE
JA442585,7200 S GREEN ST,ENGLEWOOD,STREET
JA546508,1700 N CICERO AVE,AUSTIN,STREET
JA442883,3900 W JACKSON BLVD,WEST GARFIELD PARK,STREET
JA547263,11000 S LOOMIS ST,MORGAN PARK,STREET
JA442957,5900 S SANGAMON ST,ENGLEWOOD,STREET
JA548288,1700 N WASHTENAW AVE,WEST TOWN,SIDEWALK
JA442964,3000 W 25TH ST,SOUTH LAWNDALE,SIDEWALK
JA442970,2500 S KEDZIE AVE,SOUTH LAWNDALE,SIDEWALK
JA442987,5600 S MICHIGAN AVE,WASHINGTON PARK,STREET
JA444011,12000 S MICHIGAN AVE,WEST PULLMAN,SIDEWALK
JA444039,3800 W ROOSEVELT RD,NORTH LAWNDALE,PARKING LOT/GARAGE(NON.RESID.)
JA444894,700 W 60TH PL,ENGLEWOOD,SIDEWALK
JA445063,3400 W JACKSON BLVD,EAST GARFIELD PARK,RESIDENCE
JA445468,10100 S WALLACE ST,WASHINGTON HEIGHTS,STREET
JA446201,0 N LECLAIRE AVE,AUSTIN,SIDEWALK
JA446775,11800 S PEORIA ST,WEST PULLMAN,STREET
JA553328,6200 S DR MARTIN LUTHER KING JR DR,WASHINGTON PARK,SIDEWALK
JA446872,700 N TRUMBULL AVE,HUMBOLDT PARK,STREET
JA448093,7100 S ABERDEEN ST,ENGLEWOOD,RESIDENCE
JA448163,10000 S MICHIGAN AVE,ROSELAND,STREET
JA448335,5700 S PRAIRIE AVE,WASHINGTON PARK,STREET
JA448777,5200 W ADAMS ST,AUSTIN,STREET
JA448878,6600 S HALSTED ST,ENGLEWOOD,OTHER
JA449223,0 N LOREL AVE,AUSTIN,SIDEWALK
JA556938,3100 S LITUANICA AVE,BRIDGEPORT,ALLEY
JA449359,4800 W WASHINGTON BLVD,AUSTIN,STREET
JA557372,1300 E 75TH ST,SOUTH SHORE,ALLEY
JA449680,1300 W 91ST ST,WASHINGTON HEIGHTS,STREET
JA451325,400 W 64TH ST,ENGLEWOOD,STREET
JA451609,5900 S PRINCETON AVE,ENGLEWOOD,SIDEWALK
JA451768,1900 S ST LOUIS AVE,NORTH LAWNDALE,SIDEWALK
HZ195086,7100 N CLARK ST,ROGERS PARK,STREET
JA452105,700 N WALLER AVE,AUSTIN,STREET
JA452147,2600 S CENTRAL PARK AVE,SOUTH LAWNDALE,SIDEWALK
JA452316,4000 W FIFTH AVE,WEST GARFIELD PARK,STREET
JA560249,7100 W DIVERSEY AVE,MONTCLARE,SIDEWALK
JA452890,2500 S ST LOUIS AVE,SOUTH LAWNDALE,STREET
JA453629,0 E 102ND PL,ROSELAND,STREET
JA453719,4300 S WABASH AVE,GRAND BOULEVARD,SIDEWALK
JA453752,3900 W CONGRESS PKWY,WEST GARFIELD PARK,ALLEY
