CASE_NUMBER,BLOCK,COMMUNITY_AREA,LOCATION_DESCRIPTION
HJ846755,7800 S COTTAGE GROVE AVE,GREATER GRAND CROSSING,STREET
JG224015,2500 W ADAMS ST,NEAR WEST SIDE,STREET
JF325913,7900 S LANGLEY AVE,CHATHAM,YARD
JE407860,5000 W CONGRESS PKWY,AUSTIN,APARTMENT
JG156920,1200 W 73RD ST,WEST ENGLEWOOD,STREET
JD446156,11300 S NORMAL AVE,ROSELAND,STREET
JG224023,500 N LAMON AVE,AUSTIN,STREET
JG233553,600 E 44TH ST,GRAND BOULEVARD,STREET
JG233846,1300 W 111TH ST,MORGAN PARK,PARKING LOT / GARAGE (NON RESIDENTIAL)
JG171194,4200 W VAN BUREN ST,WEST GARFIELD PARK,STREET
JG225032,13000 S CHAMPLAIN AVE,RIVERDALE,HOUSE
JG171935,5000 S SPAULDING AVE,GAGE PARK,STREET
HY553851,3600 W DICKENS AVE,LOGAN SQUARE,SIDEWALK
HY554354,6300 S ARTESIAN AVE,CHICAGO LAWN,STREET
JG139995,7900 S MAY ST,AUBURN GRESHAM,RESIDENCE
JF327491,7500 S COLFAX AVE,SOUTH SHORE,STREET
JG173707,1000 W 59TH ST,ENGLEWOOD,STREET
JG190763,11900 S LOOMIS ST,WEST PULLMAN,COMMERCIAL / BUSINESS OFFICE
JG234632,1300 S CENTRAL PARK AVE,NORTH LAWNDALE,ALLEY
JF430946,1500 W 71ST ST,WEST ENGLEWOOD,STREET
A390028,10000 W O'HARE,,AUTO
JG158454,7900 S MARQUETTE AVE,SOUTH CHICAGO,ALLEY
JG158505,7800 S PHILLIPS AVE,SOUTH SHORE,STREET
JG159486,5500 W DIVERSEY AVE,BELMONT CRAGIN,APARTMENT
JF392254,2500 W 70TH ST,CHICAGO LAWN,SIDEWALK
JD375079,600 S SPAULDING AVE,EAST GARFIELD PARK,STREET
JF354711,500 W 95TH ST,WASHINGTON HEIGHTS,AUTO
JB573005,4100 W CULLERTON ST,NORTH LAWNDALE,ALLEY
JC447115,1100 E 81ST ST,AVALON PARK,VACANT LOT / LAND
JE335507,6000 S CARPENTER ST,ENGLEWOOD,RESIDENCE
JE321538,6400 S DR MARTIN LUTHER KING JR DR,GREATER GRAND CROSSING,SIDEWALK
JE342007,1200 W 57TH ST,WEST ENGLEWOOD,SIDEWALK
JD308627,800 W 59TH ST,ENGLEWOOD,GAS STATION
JE370018,700 E OAKWOOD BLVD,GRAND BOULEVARD,STREET
JA403919,6100 S KENNETH AVE,WEST LAWN,SIDEWALK
JE386224,7200 S PHILLIPS AVE,SOUTH SHORE,STREET
JD198290,7800 S STATE ST,GREATER GRAND CROSSING,PARKING LOT / GARAGE (NON RESIDENTIAL)
JD233797,700 W 63RD ST,ENGLEWOOD,STREET
JE190690,6800 S JUSTINE ST,WEST ENGLEWOOD,RESIDENCE - PORCH / HALLWAY
JE211102,2700 W 37TH PL,BRIGHTON PARK,STREET
JE217760,2100 W ADAMS ST,NEAR WEST SIDE,SIDEWALK
JG148774,10700 S EDBROOKE AVE,ROSELAND,SIDEWALK
JF518742,8400 S PARNELL AVE,AUBURN GRESHAM,SIDEWALK
JG174823,7100 S CALUMET AVE,GREATER GRAND CROSSING,STREET
JD181968,5500 S SHIELDS AVE,ENGLEWOOD,STREET
JG148269,1500 E 87TH ST,CALUMET HEIGHTS,STREET
JG174443,1900 S SHELBY CT,LOWER WEST SIDE,STREET
JF143590,13200 S LANGLEY AVE,RIVERDALE,SIDEWALK
JF496202,1400 S KEDVALE AVE,NORTH LAWNDALE,APARTMENT
JG141232,1600 S CHRISTIANA AVE,NORTH LAWNDALE,VACANT LOT / LAND
JG175288,8100 S DREXEL AVE,CHATHAM,STREET
JG207762,4200 W 31ST ST,SOUTH LAWNDALE,STREET
JG221937,2100 E 71ST ST,SOUTH SHORE,SIDEWALK
JE466352,3400 W 61ST PL,CHICAGO LAWN,STREET
JG175194,7800 S YATES BLVD,SOUTH SHORE,SIDEWALK
JG222685,1500 N PULASKI RD,HUMBOLDT PARK,ALLEY
JG171963,3900 N LOWELL AVE,IRVING PARK,ALLEY
JE389798,6400 S DR MARTIN LUTHER KING JR DR,WOODLAWN,STREET
JG223571,100 E 45TH ST,GRAND BOULEVARD,STREET
JE454914,400 E 71ST ST,GREATER GRAND CROSSING,BARBER SHOP/BEAUTY SALON
JD428703,1400 S RIDGEWAY AVE,NORTH LAWNDALE,STREET
JE456068,3900 W GLADYS AVE,WEST GARFIELD PARK,STREET
JG233557,6600 S DREXEL AVE,WOODLAWN,APARTMENT
JG233449,8800 S EUCLID AVE,CALUMET HEIGHTS,RESIDENCE
JG232782,1800 W 50TH ST,NEW CITY,STREET
JG232754,4700 W FULLERTON AVE,BELMONT CRAGIN,STREET
JG174506,2200 W TAYLOR ST,NEAR WEST SIDE,STREET
JG161306,6100 S WESTERN AVE,CHICAGO LAWN,RESTAURANT
JG176754,5300 N BROADWAY,EDGEWATER,STREET
JG225976,3900 W ARTHINGTON ST,WEST GARFIELD PARK,STREET
JG176484,13200 S ELLIS AVE,RIVERDALE,AUTO
JG140979,3400 W 79TH ST,ASHBURN,STREET
JF339144,7100 S BENNETT AVE,SOUTH SHORE,SIDEWALK
JG233884,4900 S LEAMINGTON AVE,GARFIELD RIDGE,SIDEWALK
JG176425,9300 S PERRY AVE,ROSELAND,SIDEWALK
JG176543,1100 S MASON AVE,AUSTIN,APARTMENT
JG175910,5200 W MONTANA ST,BELMONT CRAGIN,STREET
JG234064,7800 S YATES BLVD,SOUTH SHORE,SIDEWALK
JG234714,800 E 63RD ST,WOODLAWN,STREET
JF524587,6100 S MORGAN ST,ENGLEWOOD,APARTMENT
JF522750,3300 W WARREN BLVD,EAST GARFIELD PARK,APARTMENT
JG236158,7500 S SOUTH SHORE DR,SOUTH SHORE,HALLWAY
JF434932,4900 N CENTRAL AVE,JEFFERSON PARK,STREET
JG177320,7400 S YATES BLVD,SOUTH SHORE,APARTMENT
JG234823,7800 S SOUTH SHORE DR,SOUTH CHICAGO,STREET
JG235236,1000 S INDEPENDENCE BLVD,NORTH LAWNDALE,SIDEWALK
JG235039,5300 N CICERO AVE,FOREST GLEN,STREET
JD425078,3300 W 55TH ST,GAGE PARK,AUTO
JD348734,900 N PULASKI RD,HUMBOLDT PARK,GAS STATION
JD102976,4800 W IOWA ST,AUSTIN,SIDEWALK
JG155540,700 S LAWNDALE AVE,EAST GARFIELD PARK,STREET
HY555435,3500 W GRENSHAW ST,NORTH LAWNDALE,SIDEWALK
JG215775,1200 W 88TH ST,AUBURN GRESHAM,STREET
JA310535,2500 N STOCKTON DR,LINCOLN PARK,PARK PROPERTY
JG236427,4200 S COTTAGE GROVE AVE,GRAND BOULEVARD,ALLEY
JG177752,7700 S SOUTH SHORE DR,SOUTH SHORE,SIDEWALK
JG234022,5100 S PRINCETON AVE,FULLER PARK,STREET
JG176895,3100 S MAY ST,BRIDGEPORT,APARTMENT
JG176812,2800 W MARQUETTE RD,CHICAGO LAWN,SIDEWALK
